test,layer,biterror,acc
2.0,3.0,0.0009765625,0.8567474048442907
2.0,4.0,0.0009765625,0.859515570934256
2.0,5.0,0.0009765625,0.8535178777393311
3.0,0.0,0.0625,0.0020761245674740486
3.0,1.0,0.0625,0.5374855824682814
3.0,2.0,0.0625,0.5446366782006921
3.0,3.0,0.0625,0.7949250288350634
3.0,4.0,0.0625,0.8378316032295271
3.0,5.0,0.0625,0.7803921568627451
3.0,0.0,0.03125,0.0020761245674740486
3.0,1.0,0.03125,0.7709342560553634
3.0,2.0,0.03125,0.7275663206459054
3.0,3.0,0.03125,0.8230680507497117
3.0,4.0,0.03125,0.84959630911188
3.0,5.0,0.03125,0.805997693194925
3.0,0.0,0.015625,0.003690888119953864
3.0,1.0,0.015625,0.8272202998846597
3.0,2.0,0.015625,0.802076124567474
3.0,3.0,0.015625,0.841522491349481
3.0,4.0,0.015625,0.8477508650519031
3.0,5.0,0.015625,0.8244521337946944
3.0,0.0,0.0078125,0.004152249134948097
3.0,1.0,0.0078125,0.8389850057670127
3.0,2.0,0.0078125,0.8417531718569781
3.0,3.0,0.0078125,0.84959630911188
3.0,4.0,0.0078125,0.8523644752018454
3.0,5.0,0.0078125,0.8405997693194925
3.0,0.0,0.00390625,0.003690888119953864
3.0,1.0,0.00390625,0.8468281430219147
3.0,2.0,0.00390625,0.8505190311418686
3.0,3.0,0.00390625,0.8525951557093425
3.0,4.0,0.00390625,0.8558246828143022
3.0,5.0,0.00390625,0.8435986159169551
3.0,0.0,0.001953125,0.0025374855824682814
3.0,1.0,0.001953125,0.8549019607843137
3.0,2.0,0.001953125,0.8532871972318339
3.0,3.0,0.001953125,0.8588235294117647
3.0,4.0,0.001953125,0.855594002306805
3.0,5.0,0.001953125,0.8542099192618223
3.0,0.0,0.0009765625,0.00392156862745098
3.0,1.0,0.0009765625,0.8560553633217993
3.0,2.0,0.0009765625,0.8544405997693195
3.0,3.0,0.0009765625,0.8579008073817762
3.0,4.0,0.0009765625,0.8576701268742791
3.0,5.0,0.0009765625,0.8535178777393311
4.0,0.0,0.0625,0.002306805074971165
4.0,1.0,0.0625,0.6279123414071511
4.0,2.0,0.0625,0.4696655132641292
4.0,3.0,0.0625,0.7958477508650519
4.0,4.0,0.0625,0.8380622837370242
4.0,5.0,0.0625,0.7845444059976932
4.0,0.0,0.03125,0.003229527104959631
4.0,1.0,0.03125,0.790080738177624
4.0,2.0,0.03125,0.6948096885813149
4.0,3.0,0.03125,0.8212226066897347
4.0,4.0,0.03125,0.8452133794694349
4.0,5.0,0.03125,0.805997693194925
4.0,0.0,0.015625,0.0020761245674740486
4.0,1.0,0.015625,0.8373702422145328
